exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
70,node_5_6,SUCCEEDED,"Documentation as a Trailing Indicator: Projects in the 'Operation' stage are significantly more likely to possess 'Data Documentation' than projects in 'Development', indicating that documentation is primarily a post-hoc compliance activity.",0.7419,Likely True,0.8956,Likely True,0.1844,Mild Positive (hypothesis somewhat supported),True,node_4_18,1,346.1,2026-02-22T04:19:46.472434+00:00,Analyze the timing of documentation practices relative to the development lifecycle.,"The experiment successfully tested the hypothesis that data documentation acts as a trailing indicator in the AI lifecycle. By categorizing 1,757 projects from the EO 13960 dataset into 'Development' ",EXP_070_node_5_6
71,node_4_32,SUCCEEDED,The 'Risk-Governance' Disconnect: Federal sectors with the highest density of reported AI incidents (from AIID) do not exhibit statistically higher rates of 'Key Risk Identification' in their deployed systems (EO 13960) compared to low-incident sectors.,0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_3_6,2,251.3,2026-02-22T04:25:34.865970+00:00,Cross-reference AIID risk data with EO 13960 governance response.,"The experiment successfully executed the cross-reference analysis between AIID incident data and EO 13960 governance data. 

First, the code identified the top AIID incident sectors, including 'transp",EXP_071_node_4_32
72,node_5_7,SUCCEEDED,"The 'Defense' Transparency Gap: Defense and Security agencies (DOD, DHS, DOJ) are significantly less likely to provide 'Public Notice' of their AI use cases compared to Civilian/Social agencies, reflecting a culture of opacity.",0.9032,Definitely True,0.3462,Maybe False,-0.6685,Strong Negative (hypothesis contradicted),True,node_4_5,2,268.2,2026-02-22T04:25:34.867280+00:00,Quantify the difference in public transparency between defense and civilian agencies by correctly classifying descriptive notice values.,"The experiment successfully tested the 'Defense Transparency Gap' hypothesis using the EO 13960 dataset. 

**Data Processing:**
- The script corrected the previous logic error by properly parsing the ",EXP_072_node_5_7
73,node_4_33,SUCCEEDED,"The 'Security-Safety' Decoupling: Possession of an 'Authority to Operate' (ATO), a standard security compliance marker, is not positively correlated with the presence of 'Independent Evaluation' (Safety/Ethics compliance), indicating a bifurcation between cybersecurity and AI safety governance.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_3_1,2,169.8,2026-02-22T04:30:05.422905+00:00,Test whether traditional cybersecurity compliance (ATO) predicts AI-specific safety governance (Independent Evaluation).,"The experiment successfully tested the 'Security-Safety Decoupling' hypothesis using the EO 13960 dataset (n=1,757). The analysis examined the relationship between Security Compliance (Authority to Op",EXP_073_node_4_33
74,node_5_8,SUCCEEDED,"The 'Operational Rigor' Hypothesis: Operational AI systems ('Implemented') in the federal inventory exhibit significantly higher rates of Impact Assessment compliance compared to pre-operational systems ('Planned' or 'Pilot'), reflecting a 'gatekeeper' governance model where controls are enforced primarily at deployment.",0.6613,Maybe True,0.8846,Likely True,0.268,Mild Positive (hypothesis somewhat supported),True,node_4_2,1,224.0,2026-02-22T04:30:05.426192+00:00,Determine if governance controls like Impact Assessments are gated by development stage.,"The experiment successfully tested the 'Operational Rigor' hypothesis after correcting the data parsing logic. By identifying 920 'Operational' systems (including those in 'Operation and Maintenance',",EXP_074_node_5_8
75,node_4_34,SUCCEEDED,"Legacy Tech Debt: AI projects initiated before 2019 are significantly less likely to maintain a 'Data Catalog' than projects initiated post-2019, reflecting a lag in adopting modern data governance practices in older systems.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_3_14,2,209.8,2026-02-22T04:33:51.612110+00:00,Determine if the age of an AI system correlates with the maturity of its data governance.,"The experiment successfully tested the 'Legacy Tech Debt' hypothesis using the EO 13960 dataset. After parsing dates and filtering for valid entries (n=1,191), the data was split into 'Legacy' (<2019)",EXP_075_node_4_34
76,node_4_35,SUCCEEDED,"The 'Physical-Digital' Harm Divide: In the AIID dataset, incidents in the 'Transportation' and 'Healthcare' sectors are significantly more likely to involve 'Physical' tangible harm compared to 'Financial' and 'Government' sectors, which skew towards 'Economic' harm, validating the need for domain-specific safety frameworks.",0.9839,Definitely True,0.9945,Definitely True,0.0128,Neutral (no significant belief shift),False,node_3_21,1,321.6,2026-02-22T04:33:51.617221+00:00,Validate the relationship between deployment sector and the specific type of tangible harm experienced.,The experiment successfully validated the 'Physical-Digital Harm Divide' hypothesis using the AIID dataset (N=73 incidents). After mapping sectors to domains (Physical vs. Digital) and categorizing ha,EXP_076_node_4_35
77,node_4_36,SUCCEEDED,"The Generative Malice Gap: AI Incidents involving 'Generative' technologies (LLMs, Diffusion, GANs) are significantly more likely to be classified as 'Intentional' harms (e.g., deepfakes, disinformation) compared to 'Predictive/Discriminative' AI incidents.",0.7742,Likely True,0.4286,Maybe False,-0.4147,Strong Negative (hypothesis contradicted),True,node_3_0,2,211.1,2026-02-22T04:39:15.281332+00:00,Analyze the relationship between AI technology type and the intentionality of the harm caused.,"The experiment successfully tested the 'Generative Malice Gap' hypothesis using a subset of 112 fully coded incidents from the AIID dataset (filtered from 1,362 total records based on available metada",EXP_077_node_4_36
78,node_4_37,SUCCEEDED,"The 'Shadow AI' Monitoring Gap: Federal AI systems that lack a formal Authority to Operate (ATO) are significantly less likely to have Post-Deployment Monitoring mechanisms in place compared to authorized systems, identifying a risk management void in experimental deployments.",0.9677,Definitely True,0.989,Definitely True,0.0255,Neutral (no significant belief shift),False,node_3_17,1,194.8,2026-02-22T04:39:15.282693+00:00,Investigate if systems without formal authorization (ATO) lack critical post-deployment monitoring controls.,"The experiment successfully validated the 'Shadow AI' Monitoring Gap hypothesis. Analyzing 1,757 records from the EO 13960 dataset, the study found a strong statistical link between formal authorizati",EXP_078_node_4_37
79,node_5_9,SUCCEEDED,"The 'Production Gap': There is no statistically significant difference in the completion rate of AI Impact Assessments between systems in 'Use' versus those in 'Development', suggesting a failure to gate deployment based on risk evaluation.",0.629,Maybe True,0.2143,Likely False,-0.4977,Strong Negative (hypothesis contradicted),True,node_4_14,1,182.7,2026-02-22T04:42:48.257366+00:00,Assess if operational status drives the completion of impact assessments.,"The experiment successfully tested the 'Production Gap' hypothesis using the EO 13960 dataset. 

1. **Data Processing**: The code successfully mapped 1,012 systems into 'Operational' (e.g., Use, Maint",EXP_079_node_5_9
80,node_4_38,SUCCEEDED,"Technology-Risk Mapping: Incidents involving 'Language' or 'Text' based AI technologies are statistically associated with 'Fairness/Bias' harms, whereas 'Robotics' technologies are associated with 'Safety' harms.",0.9839,Definitely True,0.8077,Likely True,-0.2114,Mild Negative (hypothesis weakened),True,node_3_16,2,820.3,2026-02-22T04:42:48.259318+00:00,Map technical AI modalities to specific risk domains.,"The experiment successfully executed the 'Technology-Risk Mapping' analysis on the 'aiid_incidents' dataset. 

1. **Data Processing**: From the 1,366 incidents, the code successfully identified and ma",EXP_080_node_4_38
81,node_4_39,SUCCEEDED,"The dominant 'Harm Domain' in AI incidents has shifted significantly over time: prior to 2020, 'Physical' and 'Economic' harms dominated, whereas post-2020, 'Societal' and 'Psychological' harms have become the primary failure modes.",0.4355,Maybe False,0.1484,Likely False,-0.3446,Strong Negative (hypothesis contradicted),True,node_3_22,2,494.1,2026-02-22T04:56:30.663133+00:00,Analyze the temporal evolution of AI harm types.,"The experiment successfully analyzed the temporal evolution of AI harm types using a keyword-inference approach on incident descriptions, as structured labels were unavailable. A Chi-square test confi",EXP_081_node_4_39
82,node_5_10,SUCCEEDED,"Ownership-Monitoring Correlation: Systems developed 'In-house' are significantly more likely to have 'Continuous Monitoring' protocols than systems developed by 'Contractors', reflecting the challenge of long-term maintenance in outsourced projects.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_4_29,1,330.8,2026-02-22T04:56:30.664575+00:00,Assess the impact of development ownership on long-term AI lifecycle maintenance.,"The experiment successfully tested the 'Ownership-Monitoring Correlation' hypothesis by correcting the data mapping for development methods and monitoring status. 

**Methodology:**
Using the EO13960 ",EXP_082_node_5_10
83,node_4_40,SUCCEEDED,"The 'Autonomy-Physicality' Link: AI incidents involving 'High Autonomy' systems (e.g., autonomous vehicles, robots) result in 'Physical' harm at a significantly higher frequency than 'Low Autonomy' systems, which are more associated with 'Economic' or 'Opportunity' loss.",0.9516,Definitely True,0.9835,Definitely True,0.0383,Neutral (no significant belief shift),False,node_3_20,2,174.3,2026-02-22T05:04:46.763845+00:00,Validate the relationship between system autonomy levels and the tangibility of harm produced.,"The experiment successfully validated the 'Autonomy-Physicality' Link hypothesis using the AIID dataset. The code correctly classified 1,362 incidents based on autonomy level and harm type, revealing ",EXP_083_node_4_40
84,node_5_11,SUCCEEDED,"The 'Vendor Reliance' Trap: Commercial (COTS) AI systems in federal agencies have significantly lower rates of documented 'Impact Assessments' compared to Government-developed systems, suggesting an over-reliance on vendor assurances.",0.7742,Likely True,0.4121,Maybe False,-0.4345,Strong Negative (hypothesis contradicted),True,node_4_24,1,287.1,2026-02-22T05:04:46.765066+00:00,Compare 'Impact Assessment' compliance rates between Commercial and Government-developed AI systems.,The experiment successfully tested the 'Vendor Reliance Trap' hypothesis using the EO 13960 dataset. After correcting the variable selection logic (switching from the descriptive '10_commercial_ai' to,EXP_084_node_5_11
85,node_5_12,SUCCEEDED,"The Public Scrutiny Effect: AI systems designated as 'Publicly Accessible' (providing public information or services) are significantly more likely to comply with 'AI Notice' requirements compared to internal-facing systems, driven by external transparency pressures.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_4_21,1,217.1,2026-02-22T05:09:36.353863+00:00,Compare the rate of 'AI Notice' compliance between public-facing and internal-only AI systems in the federal inventory.,The experiment successfully tested the 'Public Scrutiny Effect' hypothesis. After correcting for text-based data representation in the 'AI Notice' and 'Public Service' columns (which previously caused,EXP_085_node_5_12
86,node_5_13,SUCCEEDED,"Lifecycle Documentation Debt: AI systems in the 'Operation/Maintenance' phase are *less* likely to have complete 'Data Documentation' compared to systems in the 'Development' phase, contrary to the expectation that documentation is finalized before deployment.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_4_10,2,250.5,2026-02-22T05:09:36.355126+00:00,Test for 'documentation debt' where operational systems lack the documentation rigor of active development projects.,The experiment was successfully executed and produced valid statistical results. The code corrected the previous data parsing issue by implementing a robust text-analysis function (`map_docs`) that co,EXP_086_node_5_13
87,node_6_0,SUCCEEDED,"Modality-Failure Correlation: AI systems based on 'Language' technologies are statistically more likely to exhibit 'Output/Content' failures, while 'Vision' systems correlate with 'Robustness/Perturbation' failures.",0.7581,Likely True,0.7527,Likely True,-0.0064,Neutral (no significant belief shift),False,node_5_2,0,223.3,2026-02-22T05:13:49.349563+00:00,Investigate the link between AI modality (NLP vs CV) and technical failure mechanisms.,"The experiment successfully executed the classification and statistical testing on a subset of 40 incidents (23 Language, 17 Vision). The results directionally support the hypothesis, revealing distin",EXP_087_node_6_0
88,node_5_14,SUCCEEDED,"Agency Risk Appetite: Security-focused agencies (DOD, DHS, DOJ) deploy a significantly higher proportion of 'Rights-Impacting' AI systems compared to Social-service agencies (HHS, Education, VA), yet show no higher rates of Independent Evaluation.",0.6774,Maybe True,0.3791,Maybe False,-0.358,Strong Negative (hypothesis contradicted),True,node_4_23,2,300.4,2026-02-22T05:13:49.351228+00:00,Compare the risk profile and governance rigor of security vs. civilian agencies.,"The experiment successfully categorized 683 AI use cases into 'Security' (183) and 'Social' (500) agency clusters. 

1. **Risk Profile**: The analysis confirms the first part of the hypothesis. Securi",EXP_088_node_5_14
89,node_5_15,SUCCEEDED,The 'Maturity Clustering' Effect: Governance capabilities are not isolated; federal AI systems that have achieved a security 'Authority to Operate' (ATO) are significantly more likely to also possess a documented 'Impact Assessment' compared to systems without an ATO.,0.7823,Likely True,0.9258,Definitely True,0.1723,Mild Positive (hypothesis somewhat supported),False,node_4_15,1,227.0,2026-02-22T05:18:52.208124+00:00,Determine if security compliance (ATO) is a predictor of broader governance compliance (Impact Assessments) in federal AI.,"The experiment successfully tested the 'Maturity Clustering' hypothesis. The code loaded the dataset, correctly cleaned the 'Authority to Operate' (ATO) and 'Impact Assessment' columns based on the va",EXP_089_node_5_15
90,node_5_16,SUCCEEDED,"The 'Physicality' of Autonomy: Higher levels of system autonomy are strongly associated with 'Physical' harms, whereas lower autonomy systems are dominated by 'Intangible' harms (e.g., economic, bias).",0.4435,Maybe False,0.1951,Likely False,-0.2982,Mild Negative (hypothesis weakened),True,node_4_8,2,395.6,2026-02-22T05:18:52.210420+00:00,Map the relationship between the degree of AI autonomy and the nature of the resulting harm.,The experiment successfully tested the hypothesis linking AI autonomy levels to harm types using the AIID dataset (N=154). The analysis mapped 'Autonomy Level' to High vs. Low/Medium and classified ha,EXP_090_node_5_16
91,node_4_41,SUCCEEDED,Rights-Impacting Compliance Paradox: AI systems explicitly classified as 'Rights-Impacting' do not show significantly higher rates of 'Independent Evaluation' compared to non-rights-impacting systems.,0.75,Likely True,0.2555,Likely False,-0.5934,Strong Negative (hypothesis contradicted),True,node_3_9,2,257.9,2026-02-22T05:25:30.173428+00:00,"Verify if high-risk 'Rights-Impacting' systems are actually receiving the enhanced scrutiny (Independent Eval) they require, correcting the previous file path error.","The experiment successfully analyzed 1,757 AI use cases from the EO13960 dataset to test the 'Rights-Impacting Compliance Paradox'. By filtering for 'Rights-Impacting' or 'Both' impact types, the code",EXP_091_node_4_41
92,node_5_17,SUCCEEDED,The 'Paperwork vs. Protection' Gap: Governance requirements categorized under the NIST AI RMF 'MAP' function map to significantly fewer technical architecture controls than those under the 'MANAGE' function.,0.7419,Likely True,0.3563,Maybe False,-0.4627,Strong Negative (hypothesis contradicted),True,node_4_12,1,363.7,2026-02-22T05:25:30.208862+00:00,Determine if 'Map' requirements are less technically operationalizable than 'Manage' requirements.,The experiment was successfully executed. The programmer correctly resolved previous data issues by merging the CSV dataset (containing the 'function' classification) with the JSON dataset (containing,EXP_092_node_5_17
93,node_4_42,SUCCEEDED,"ATLAS Kill Chain Clustering: In adversarial AI attacks, the tactic 'Exfiltration' is significantly more likely to co-occur with 'Collection' than with 'Initial Access', indicating a distinct late-stage attack cluster.",0.8952,Likely True,0.6951,Maybe True,-0.2401,Mild Negative (hypothesis weakened),True,node_3_4,2,266.2,2026-02-22T05:31:36.224166+00:00,Identify clustering of adversarial tactics in real-world cases.,"The experiment successfully loaded the ATLAS dataset (n=52 cases) but encountered data sparsity issues that prevented a complete statistical test. 

1.  **Clustering Evidence**: The analysis confirmed",EXP_093_node_4_42
94,node_5_18,SUCCEEDED,"Sector-Specific Harm Fingerprints: The 'Healthcare' sector is significantly more prone to 'Physical' harm incidents compared to the 'Financial' sector, which clusters disproportionately around 'Economic' harm.",0.9839,Definitely True,0.8297,Likely True,-0.185,Mild Negative (hypothesis weakened),True,node_4_6,0,477.0,2026-02-22T05:31:36.228968+00:00,Validate whether AI harm domains are statistically dependent on the sector of deployment by correcting the data mapping logic.,"The experiment successfully analyzed the relationship between sector and harm type using a text-mining approach on the 'description' and 'title' columns. While the sample size remained small (n=11), t",EXP_094_node_5_18
95,node_5_19,SUCCEEDED,"The Security-Transparency Trade-off: Agencies with 'Defense' or 'Justice' missions are significantly less likely to provide public 'Code Access' compared to 'Civilian' service agencies (e.g., Health, Education), even for non-sensitive use cases.",0.7419,Likely True,0.7637,Likely True,0.0262,Neutral (no significant belief shift),False,node_4_0,0,213.5,2026-02-22T05:39:35.592618+00:00,Quantify the transparency gap between security-oriented and civilian agencies.,"The experiment successfully validated the 'Security-Transparency Trade-off' hypothesis using the EO 13960 dataset. 

**Methodology**: 
The code classified 1,757 AI use cases by agency type ('Security'",EXP_095_node_5_19
96,node_5_20,SUCCEEDED,"The Vendor-Bias Blindspot: Commercial AI systems are significantly less likely to have documented 'Disparity Mitigation' evidence compared to internally developed systems, reflecting a lack of insight into vendor training data.",0.7581,Likely True,0.2582,Likely False,-0.5998,Strong Negative (hypothesis contradicted),True,node_4_36,1,356.6,2026-02-22T05:39:35.595296+00:00,Analyze if commercial AI procurement correlates with lower visibility into bias mitigation.,The experiment successfully tested the 'Vendor-Bias Blindspot' hypothesis using the EO 13960 dataset. After correcting the initial column identification errors (using `22_dev_method` for development s,EXP_096_node_5_20
97,node_5_21,SUCCEEDED,"Sector-Harm Divergence: Incidents in the 'Public Sector' are significantly more likely to result in 'Intangible/Risk' harms compared to 'Private Sector' incidents, which are more prone to 'Tangible' harms.",0.7258,Likely True,0.2527,Likely False,-0.5677,Strong Negative (hypothesis contradicted),True,node_4_20,1,275.2,2026-02-22T05:45:34.505640+00:00,Analyze the AIID subset to determine if there is a statistically significant association between the deployment sector (Public vs. Private) and the nature of the harm (Tangible vs. Intangible/Risk).,"The experiment successfully analyzed 191 AIID incidents to test the 'Sector-Harm Divergence' hypothesis. 

**Data Processing:**
- **Sector Classification:** Incidents were categorized into 'Private' (",EXP_097_node_5_21
98,node_5_22,SUCCEEDED,"Legacy Governance Debt: Operational AI systems (those in 'Operation and Maintenance') are significantly less likely to report compliance with newer 'Disparity Mitigation' requirements compared to systems currently in 'Development' or 'Acquisition' phases, indicating a governance gap in legacy systems.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_4_27,2,231.8,2026-02-22T05:45:34.517147+00:00,Assess whether development stage correlates with bias mitigation compliance.,The experiment successfully executed and addressed the previous parsing error by implementing heuristic text analysis to identify substantive disparity mitigation descriptions. Out of 1620 analyzed AI,EXP_098_node_5_22
99,node_4_43,SUCCEEDED,"The 'Opaque Defense' Hypothesis: Defense and Security agencies deploy a significantly higher proportion of 'High Impact' systems that lack public transparency mechanisms (e.g., AI Notice or Opt-Out) compared to Civilian agencies.",0.9032,Definitely True,0.4615,Uncertain,-0.53,Strong Negative (hypothesis contradicted),True,node_3_7,2,221.0,2026-02-22T05:50:11.908492+00:00,Investigate the trade-off between agency mission (Security vs. Civilian) and public transparency.,"The experiment successfully processed the EO13960 dataset to test the 'Opaque Defense' hypothesis but found no statistical evidence to support it due to the specific data distribution.

1.  **Data Seg",EXP_099_node_4_43
100,node_5_23,SUCCEEDED,"The Adversarial Blind Spot: In ATLAS case studies, 'Exfiltration' tactics (stealing model/data) are associated with significantly fewer documented 'Mitigations' than 'Evasion' tactics (fooling the model), indicating a focus on model performance over asset security.",0.7419,Likely True,0.7027,Likely True,-0.0471,Neutral (no significant belief shift),False,node_4_7,0,228.3,2026-02-22T05:50:11.909375+00:00,Analyze the ATLAS dataset to find gaps in defensive coverage.,"The code will load the `atlas_cases` data, which contains pre-calculated counts of mitigations per case (`n_mitigations`) and a list of tactics involved (`tactics`). By parsing the `tactics` column fo",EXP_100_node_5_23
101,node_5_24,SUCCEEDED,"The Autonomy-Risk Escalation: Higher levels of AI autonomy are statistically associated with 'Tangible' harms (e.g., physical, financial) rather than 'Intangible' harms, indicating that loss of human control correlates with safety risks.",0.7419,Likely True,0.4176,Maybe False,-0.3892,Strong Negative (hypothesis contradicted),True,node_4_1,1,343.8,2026-02-22T05:54:02.499077+00:00,Investigate the relationship between system autonomy levels and the tangibility of harm using specific dataset mappings.,"The experiment successfully analyzed 155 valid AIID incidents to test the 'Autonomy-Risk Escalation' hypothesis. 

**Findings:**
1.  **Hypothesis Not Supported:** The Chi-Square test yielded a p-value",EXP_101_node_5_24
102,node_4_44,SUCCEEDED,"Vendor Opacity: Federally deployed 'Commercial' AI systems are significantly less likely to have reported 'Post-Deployment Monitoring' compared to 'Custom-Developed' systems, indicating a governance gap in vendor-procured solutions.",0.7903,Likely True,0.2692,Likely False,-0.6253,Strong Negative (hypothesis contradicted),True,node_3_2,2,270.9,2026-02-22T05:54:02.500065+00:00,Compare post-deployment monitoring rates between Commercial and Custom AI systems in the federal inventory.,"The experiment successfully analyzed 1,710 records from the EO13960 dataset to evaluate the 'Vendor Opacity' hypothesis. The results **reject** the hypothesis that Commercial AI systems are less likel",EXP_102_node_4_44
103,node_5_25,SUCCEEDED,"The 'Legacy-Governance' Gap: AI systems currently in the 'Operation' phase are significantly less likely to have a completed Impact Assessment than systems in the 'Development' phase, reflecting a regulatory lag where older systems are grandfathered out of compliance.",0.7419,Likely True,0.2706,Likely False,-0.5656,Strong Negative (hypothesis contradicted),True,node_4_13,1,181.3,2026-02-22T05:59:48.817857+00:00,Determine if the lifecycle stage of an AI system predicts its compliance with Impact Assessment requirements.,The experiment successfully tested the 'Legacy-Governance Gap' hypothesis using the EO 13960 dataset. The analysis categorized 992 AI systems into 'Legacy/Ops' (641 systems) and 'New/Dev' (351 systems,EXP_103_node_5_25
104,node_5_26,SUCCEEDED,The Vendor-Opacity Hypothesis (Revised): AI systems developed by external 'Contractors' are significantly less likely to have accessible 'Data Documentation' compared to systems developed 'In-house' by government agencies.,0.75,Likely True,0.9148,Definitely True,0.1978,Mild Positive (hypothesis somewhat supported),True,node_4_25,1,342.2,2026-02-22T05:59:48.819380+00:00,"Re-evaluate the correlation between AI development method (Contractor vs. In-house) and data documentation availability using refined text-parsing logic that correctly identifies negative assertions (e.g., 'missing', 'not available').",The experiment successfully re-tested the 'Vendor-Opacity Hypothesis' using the corrected text-parsing logic. The data validation step confirmed that the new mapping function correctly identifies nega,EXP_104_node_5_26
105,node_5_27,SUCCEEDED,"The 'Shadow AI' Deployment Gap: A statistically significant proportion of federal AI systems currently in the 'Operation' stage lack a valid Authority to Operate (ATO), implying that operational deployment pressures frequently override mandatory security compliance protocols.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_4_33,1,172.7,2026-02-22T06:05:33.374206+00:00,Quantify the rate of non-compliance (missing ATO) specifically for systems that are already operational.,"The experiment successfully quantified the 'Shadow AI' deployment gap within the EO 13960 inventory. By segmenting the data into Operational (n=641) and Development (n=371) stages, the analysis reveal",EXP_105_node_5_27
106,node_5_28,SUCCEEDED,"The 'Shadow AI' Security Gap: Commercial AI procurements ('COTS') in federal agencies are significantly less likely to report a formal 'Authority to Operate' (ATO) compared to Custom/Government-developed systems, suggesting a reliance on vendor assurances over standard security accreditation.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_4_2,1,180.4,2026-02-22T06:05:33.446562+00:00,Compare security accreditation rates (ATO) between Commercial and Custom AI systems.,"The experiment successfully tested the 'Shadow AI' Security Gap hypothesis using the EO 13960 dataset. The analysis processed 1,757 AI systems, classifying 1,404 as Custom/Government-developed and 353",EXP_106_node_5_28
107,node_4_45,SUCCEEDED,"GenAI Governance Lag: AI use cases utilizing Generative AI or LLM technologies (identified via text keywords) have significantly lower compliance with 'Notice' and 'Consent' requirements compared to traditional Predictive AI, reflecting a regulatory lag for new technologies.",0.7419,Likely True,0.2912,Likely False,-0.5409,Strong Negative (hypothesis contradicted),True,node_3_3,2,253.1,2026-02-22T06:08:36.119794+00:00,Assess if Generative AI use cases are less governed regarding transparency than traditional AI.,"The experiment successfully tested the 'GenAI Governance Lag' hypothesis but found no statistical support for it. 

1. **Data Classification**: The code successfully identified 263 'GenAI' use cases a",EXP_107_node_4_45
108,node_5_29,SUCCEEDED,The Risk-Investment Mismatch: There is a negative or negligible correlation between the sectors where the Government is investing (EO13960 Use Cases) and the sectors where real-world AI failures are occurring (AIID Incidents).,0.7419,Likely True,0.8846,Likely True,0.1712,Mild Positive (hypothesis somewhat supported),False,node_4_26,1,227.6,2026-02-22T06:08:36.120910+00:00,Quantify the alignment between government AI adoption and real-world AI risk.,"The experiment successfully quantified the alignment between government AI adoption and real-world AI risks, supporting the 'Risk-Investment Mismatch' hypothesis. 

1. **Statistical Findings**: The Sp",EXP_108_node_5_29
109,node_6_1,SUCCEEDED,"The High-Impact Audit Gap: AI systems classified as 'High Impact' in the federal inventory are not significantly more likely to have undergone an 'Independent Evaluation' than 'Low/Moderate Impact' systems, suggesting a failure to align rigor with risk.",0.7419,Likely True,0.5934,Maybe True,-0.1782,Mild Negative (hypothesis weakened),False,node_5_0,0,223.1,2026-02-22T06:12:51.155187+00:00,Assess if risk classification effectively drives independent auditing compliance.,"The experiment was successfully executed, but the intended statistical comparison was constrained by data distribution issues.

1.  **Missing Control Group**: The filtering logic identified 77 'High I",EXP_109_node_6_1
110,node_5_30,SUCCEEDED,"The 'Malicious Sector' Profile: Incidents characterized as 'Intentional Harm' (Malicious Use) are disproportionately concentrated in the 'Public Sector' and 'Media' sectors, whereas 'Unintentional' failures cluster in 'Transportation' and 'Healthcare'.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_4_28,2,364.5,2026-02-22T06:12:51.160459+00:00,"Map the intent of AI failures (Malicious vs Accidental) to specific deployment sectors, with robust error handling for sparse or missing intentionality data.","The experiment was successfully executed with the corrected data mapping logic. The results **contradict** the 'Malicious Sector' hypothesis.

1. **Hypothesis Rejection**: The hypothesis predicted 'Tr",EXP_110_node_5_30
111,node_5_31,SUCCEEDED,"Sector-Based Harm Specificity: The 'Healthcare' sector is significantly more likely to experience 'Physical' harms, whereas the 'Financial' sector is significantly more likely to experience 'Economic' harms.",0.9758,Definitely True,0.8379,Likely True,-0.1655,Mild Negative (hypothesis weakened),False,node_4_12,1,543.2,2026-02-22T06:18:58.083192+00:00,"Analyze the relationship between deployment sector and harm type using keyword-based classification on unstructured text fields, addressing previous data quality issues.","The experiment successfully pivoted to a keyword-based text analysis strategy to overcome previous data quality issues, identifying 15 incidents that matched the specific Sector and Harm criteria. The",EXP_111_node_5_31
112,node_5_32,SUCCEEDED,Commercial Opacity: Government AI systems procured from commercial vendors are significantly less likely to have available data documentation compared to custom/internally developed systems.,0.7984,Likely True,0.9313,Definitely True,0.1595,Mild Positive (hypothesis somewhat supported),False,node_4_41,1,429.2,2026-02-22T06:18:58.084185+00:00,Investigate if commercial 'black-box' procurement hinders transparency compliance.,"The experiment successfully tested the 'Commercial Opacity' hypothesis using the EO13960 dataset. After correcting initial variable selection errors during debugging, the analysis focused on 920 AI sy",EXP_112_node_5_32
113,node_5_33,SUCCEEDED,"Commercial COTS AI systems in the federal inventory are significantly less likely to have undergone Independent Evaluations compared to custom-developed systems, indicating a reliance on vendor assurances over objective testing.",0.8952,Likely True,0.3599,Maybe False,-0.6423,Strong Negative (hypothesis contradicted),True,node_4_37,2,305.8,2026-02-22T06:28:03.633974+00:00,Determine if reliance on Commercial/COTS AI correlates with a lack of Independent Evaluation controls.,"The experiment successfully tested the hypothesis by adapting the methodology to use '37_custom_code' as a reliable proxy for vendor type (No='Commercial/COTS', Yes='Custom/GOTS'), given the data qual",EXP_113_node_5_33
114,node_4_46,SUCCEEDED,"The 'Public Service' Accountability Divide: Public-facing AI systems in federal agencies are significantly more likely to provide an Appeal Process compared to internal-facing systems, reflecting a stronger emphasis on due process for citizen-impacting technologies.",0.5161,Uncertain,0.2088,Likely False,-0.3688,Strong Negative (hypothesis contradicted),True,node_3_17,2,289.9,2026-02-22T06:28:03.638737+00:00,Compare the availability of appeal processes between public-facing and internal AI deployments.,The experiment successfully tested the 'Public Service Accountability Divide' hypothesis using the EO 13960 dataset. Due to extreme sparsity in the originally targeted '26_public_service' column (93% ,EXP_114_node_4_46
115,node_6_2,SUCCEEDED,The 'Physical' Sector Risk: Incidents in the 'Transportation' and 'Energy' sectors have a significantly higher ratio of 'Death/Injury' harms compared to the 'Finance' and 'Education' sectors.,0.9839,Definitely True,0.4231,Maybe False,-0.673,Strong Negative (hypothesis contradicted),True,node_5_7,2,245.4,2026-02-22T06:33:11.498510+00:00,Correlate industry sectors with physical safety risks.,"The experiment successfully tested the 'Physical Sector Risk' hypothesis using the AIID incidents dataset. The code correctly identified the relevant columns ('Sector of Deployment', 'Tangible Harm') ",EXP_115_node_6_2
