case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,missing_controls,competency_gaps
AML.CS0029,Google Bard Conversation Exfiltration,2023-11-23,exercise,Embrace the Red,Google Bard,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that Bard users' conversations could be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor shares a Google Doc containing the prompt with the target user who then interacts with the document via Bard to ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0010; AML.TA0011,AML.T0008; AML.T0017; AML.T0048.003; AML.T0051.001; AML.T0065; AML.T0077; AML.T0093,7,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Trust Readiness -- General Governance
AML.CS0030,LLM Jacking,2024-05-06,incident,Unknown,Cloud-Based LLM Services,The Sysdig Threat Research Team discovered that malicious actors utilized stolen credentials to gain access to cloud-hosted large language models (LLMs). The actors covertly gathered information about which models were enabled on the cloud service and created a reverse proxy for LLMs that would allo,AML.TA0003; AML.TA0004; AML.TA0008; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0012; AML.T0016.001; AML.T0048.000; AML.T0049; AML.T0055; AML.T0075,6,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery,,
AML.CS0031,Malicious Models on Hugging Face,2025-02-25,incident,Unknown,Hugging Face users,"Researchers at ReversingLabs have identified malicious models containing embedded malware hosted on the Hugging Face model repository. The models were found to execute reverse shells when loaded, which grants the threat actor command and control capabilities on the victim's system. Hugging Face uses",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0014,AML.T0010; AML.T0011.000; AML.T0018.002; AML.T0058; AML.T0072; AML.T0076,6,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- C2 Detection & Network Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection,AML.M0013: Code Signing; AML.M0014: Verify AI Artifacts; AML.M0020: Generative AI Guardrails; AML.M0023: AI Bill of Materials; AML.M0011: Restrict Library Loading,Trust Readiness -- General Governance
AML.CS0032,Attempted Evasion of ML Phishing Webpage Detection System,2022-12-01,incident,Unknown,Commercial ML Phishing Webpage Detector,"Adversaries create phishing websites that appear visually similar to legitimate sites. These sites are designed to trick users into entering their credentials, which are then sent to the bad actor. To combat this behavior, security companies utilize AI/ML-based approaches to detect phishing sites an",AML.TA0001; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0043.003; AML.T0048.003; AML.T0052,4,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery,AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Trust Readiness -- General Governance
AML.CS0033,Live Deepfake Image Injection to Evade Mobile KYC Verification,2024-10-01,exercise,iProov Red Team,Mobile facial authentication service,"Facial biometric authentication services are commonly used by mobile applications for user onboarding, authentication, and identity verification for KYC requirements. The iProov Red Team demonstrated a face-swapped imagery injection attack that can successfully evade live facial recognition authenti",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0016; AML.T0016.001; AML.T0016.002; AML.T0021; AML.T0047; AML.T0048.000; AML.T0073; AML.T0087; AML.T0088,10,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0009: Use Multi-Modal Sensors; AML.M0034: Deepfake Detection; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration,Trust Readiness -- General Governance
AML.CS0034,ProKYC: Deepfake Tool for Account Fraud Attacks,2024-10-09,incident,"ProKYC, cybercriminal group",KYC verification services,"Cato CTRL security researchers have identified ProKYC, a deepfake tool being sold to cybercriminals as a method to bypass Know Your Customer (KYC) verification on financial service applications such as cryptocurrency exchanges. ProKYC can create fake identity documents and generate deepfake selfie v",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0016.002; AML.T0021; AML.T0047; AML.T0048.000; AML.T0073; AML.T0087; AML.T0088,8,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0009: Use Multi-Modal Sensors; AML.M0034: Deepfake Detection; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration,Trust Readiness -- General Governance
AML.CS0035,Data Exfiltration from Slack AI via Indirect Prompt Injection,2024-08-20,exercise,PromptArmor,Slack AI,"[PromptArmor](https://promptarmor.substack.com) demonstrated that private data can be exfiltrated from Slack AI via indirect prompt injections. The attack relied on Slack AI ingesting a malicious prompt from a post in a public channel into its RAG database and a victim user querying Slack AI, causin",AML.TA0000; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0010; AML.TA0013,AML.T0012; AML.T0047; AML.T0051.001; AML.T0065; AML.T0066; AML.T0070; AML.T0077; AML.T0082,8,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0036,AIKatz: Attacking LLM Desktop Applications,2025-01-01,exercise,Lumia Security,"LLM Desktop Applications (Claude, ChatGPT, Copilot)","Researchers at Lumia have demonstrated that it is possible to extract authentication tokens from the memory of LLM Desktop Applications. An attacker could then use those tokens to impersonate as the victim to the LLM backed, thereby gaining access to the victim’s conversations as well as the ability",AML.TA0000; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0013; AML.TA0015,AML.T0012; AML.T0029; AML.T0047; AML.T0048.000; AML.T0048.003; AML.T0051.000; AML.T0080.000; AML.T0080.001; AML.T0089; AML.T0090; AML.T0091.000; AML.T0092,12,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Lateral Movement Prevention; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0031: Memory Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0015: Adversarial Input Detection,Trust Readiness -- General Governance
AML.CS0037,Data Exfiltration via Agent Tools in Copilot Studio,2025-06-01,exercise,Zenity,Copilot Studio Customer Service Agent,Researchers from Zenity demonstrated how an organization’s data can be exfiltrated via prompt injections that target an AI-powered customer service agent.  The target system is a customer service agent built by Zenity in Copilot Studio. It is modeled after an agent built by McKinsey to streamline it,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0008; AML.TA0009; AML.TA0010,AML.T0006; AML.T0047; AML.T0051; AML.T0051.002; AML.T0065; AML.T0084.000; AML.T0084.001; AML.T0084.002; AML.T0085.000; AML.T0085.001; AML.T0086; AML.T0093,12,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0019: Control Access to AI Models and Data in Production; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging,Trust Readiness -- General Governance
AML.CS0038,Planting Instructions for Delayed Automatic AI Agent Tool Invocation,2024-02-01,exercise,Embrace the Red,Google Gemini,[Embrace the Red](https://embracethered.com/blog/) demonstrated that Google Gemini is susceptible to automated tool invocation by delaying the execution to the next conversation turn. This bypasses a security control that restricts Gemini from invoking tools that can access sensitive user informatio,AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0012,AML.T0051.001; AML.T0053; AML.T0065; AML.T0085.001; AML.T0093; AML.T0094,6,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Defense Evasion Detection,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0039,Living Off AI: Prompt Injection via Jira Service Management,2025-06-19,exercise,Cato CTRL,"Atlassian MCP, Jira Service Management",Researchers from Cato Networks demonstrated how adversaries can exploit AI-powered systems embedded in enterprise workflows to execute malicious actions with elevated privileges. This is achieved by crafting malicious inputs from external users such as support tickets that are later processed by int,AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0009; AML.TA0010; AML.TA0012,AML.T0003; AML.T0051.001; AML.T0053; AML.T0065; AML.T0085.001; AML.T0086; AML.T0093; AML.T0095,8,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0040,Hacking ChatGPT’s Memories with Prompt Injection,2024-02-01,exercise,Embrace the Red,OpenAI ChatGPT,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT’s memory feature is vulnerable to manipulation via prompt injections. To execute the attack, the researcher hid a prompt injection in a shared Google Doc. When a user references the document, its contents is placed into Cha",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0011,AML.T0048.003; AML.T0051.001; AML.T0065; AML.T0068; AML.T0080.000; AML.T0093,6,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Persistence Detection & Monitoring,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0031: Memory Hardening,Trust Readiness -- General Governance
AML.CS0041,Rules File Backdoor: Supply Chain Attack on AI Coding Assistants,2025-03-18,exercise,Pillar Security,"Cursor, GitHub Copilot",Pillar Security researchers demonstrated how adversaries can compromise AI-generated code by injecting malicious instructions into rules files used to configure AI coding assistants like Cursor and GitHub Copilot. The attack uses invisible Unicode characters to hide malicious prompts that manipulate,AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0011,AML.T0010.001; AML.T0048.003; AML.T0051.000; AML.T0054; AML.T0065; AML.T0067; AML.T0068; AML.T0079; AML.T0081,9,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Persistence Detection & Monitoring,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails,Trust Readiness -- General Governance
AML.CS0042,SesameOp: Novel backdoor uses OpenAI Assistants API for command and control,2025-07-01,incident,Unknown Threat Actor,OpenAI Assistants API,"The Microsoft Incident Response - Detection and Response Team (DART) investigated a compromised system where a threat actor utilized SesameOp, a backdoor implant that abuses the OpenAI Assistants API as a covert command and control channel, for espionage activities. The SesameOp malware used the Ope",AML.TA0014,AML.T0096,1,Integration Readiness -- C2 Detection & Network Controls,,
AML.CS0043,Malware Prototype with Embedded Prompt Injection,2025-06-25,incident,Unknown Threat Actor,"LLM malware detectors, LLM malware analysis and reverse engineering tools","Check Point Research identified a prototype malware sample in the wild that contained a prompt injection, which appeared to be designed to manipulate LLM-based malware detectors and/or analysis tools. However, the researchers did not find the prompt injection to be effective on the models they teste",AML.TA0003; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0010; AML.TA0013,AML.T0015; AML.T0017; AML.T0025; AML.T0037; AML.T0051.000; AML.T0055; AML.T0065; AML.T0097,8,Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Defense Evasion Detection,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors,Trust Readiness -- General Governance
AML.CS0044,LAMEHUG: Malware Leveraging Dynamic AI-Generated Commands,2025-06-03,incident,APT28,Ukraine’s security and defense sector,"In July 2025, Ukrainian authorities reported the emergence of LAMEHUG, a new AI-powered malware attributed to the Russian state-backed threat actor [APT28](https://attack.mitre.org/groups/G0007/) (also tracked as Forest Blizzard or UAC-0001). LAMEHUG uses a large language model (LLM) to dynamically ",AML.TA0001; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0010; AML.TA0015,AML.T0011; AML.T0012; AML.T0025; AML.T0037; AML.T0052; AML.T0073; AML.T0074; AML.T0102,8,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Lateral Movement Prevention; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Defense Evasion Detection,AML.M0011: Restrict Library Loading; AML.M0014: Verify AI Artifacts; AML.M0016: Vulnerability Scanning; AML.M0018: User Training; AML.M0023: AI Bill of Materials,Trust Readiness -- General Governance
AML.CS0045,Data Exfiltration via an MCP Server used by Cursor,2025-06-24,exercise,Backslash Security Research Team,Cursor,"The Backslash Security Research Team demonstrated that a Model Context Protocol (MCP) tool can be used as a vector for an indirect prompt injection attack on Cursor, potentially leading to the execution of malicious shell commands.  The Backslash Security Research Team created a proof-of-concept MCP",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0010; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0048.000; AML.T0051.001; AML.T0053; AML.T0065; AML.T0068; AML.T0078; AML.T0079; AML.T0083; AML.T0086,9,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0046,Data Destruction via Indirect Prompt Injection Targeting Claude Computer-Use,2024-10-24,exercise,HiddenLayer,Claude Computer Use Agent,Security researchers at HiddenLayer demonstrated that an indirect prompt injection targeting Claude’s Computer Use AI can lead to execution of shell commands on the victim system and destruction of user data.  The researchers embedded a prompt injection in a PDF file. When a user asked Claude Comput,AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011,AML.T0051.001; AML.T0053; AML.T0054; AML.T0065; AML.T0068; AML.T0093; AML.T0101,7,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0047,Code to Deploy Destructive AI Agent Discovered in Amazon Q VS Code Extension,2025-07-13,incident,lkmanka58 (GitHub user),Amazon Q VS Code Extension,"On July 13th, 2025, a malicious actor using the GitHub username ""lkmanka58"" used an inappropriately scoped GitHub token to make a commit containing malicious code to the Amazon Q Developer Visual Studio Code (VS Code) extension repository. The commit was designed to cause the VS Code extension to de",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0011; AML.TA0013,AML.T0010.001; AML.T0011.001; AML.T0051.000; AML.T0055; AML.T0065; AML.T0101; AML.T0103,7,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Impact Containment & Recovery,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0011: Restrict Library Loading; AML.M0016: Vulnerability Scanning; AML.M0018: User Training,Trust Readiness -- General Governance
AML.CS0048,Exposed ClawdBot Control Interfaces Leads to Credential Access and Execution,2026-01-25,exercise,Jamieson O’Reilly,ClawdBot (now OpenClaw),"A security researcher identified hundreds of exposed ClawdBot control interfaces on the public internet. ClawdBot (now OpenClaw) “is a personal AI assistant you run on your own devices. It answers you on the channels you already use … , plus extension channels. … It can speak and listen on macOS/iOS",AML.TA0002; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0008; AML.TA0010; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0000; AML.T0025; AML.T0048.003; AML.T0049; AML.T0051.001; AML.T0053; AML.T0069.002; AML.T0083; AML.T0092; AML.T0098,10,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0049,Supply Chain Compromise via Poisoned ClawdBot Skill,2026-01-26,exercise,Jamieson O’Reilly,ClawdBot (now OpenClaw),"A security researcher demonstrated a proof-of-concept supply chain attack using a poisoned ClawdBot Skill shared on ClawdHub, a Skill registry for agents. The poisoned Skill contained a prompt injection that caused ClawdBot to execute a shell command that reached the researcher’s server. Although th",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011; AML.TA0012,AML.T0008.002; AML.T0010.001; AML.T0011.002; AML.T0017; AML.T0048; AML.T0051.000; AML.T0053; AML.T0065; AML.T0074; AML.T0104,10,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment,Trust Readiness -- General Governance
AML.CS0050,OpenClaw 1-Click Remote Code Execution,2026-02-01,exercise,DepthFirst,OpenClaw,A security researcher demonstrated a 1-click remote code execution (RCE) vulnerability to the OpenClaw AI Agent via a malicious link containing a JavaScript script that only takes milliseconds to execute. This vulnerability has been reported and is being tracked to versions of OpenClaw as CVE-2026-2,AML.TA0003; AML.TA0005; AML.TA0007; AML.TA0012; AML.TA0013,AML.T0011.003; AML.T0012; AML.T0017; AML.T0050; AML.T0079; AML.T0081; AML.T0105; AML.T0106; AML.T0107,9,Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Defense Evasion Detection,,
AML.CS0051,OpenClaw Command & Control via Prompt Injection,2026-02-03,exercise,HiddenLayer,OpenClaw,"Researchers at HiddenLayer demonstrated how a webpage can embed an indirect prompt injection that causes OpenClaw to silently execute a malicious script. Once executed, the script plants persistent malicious instructions into future system prompts, allowing the attacker to issue new commands, turnin",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0014,AML.T0008; AML.T0031; AML.T0051.000; AML.T0051.001; AML.T0053; AML.T0054; AML.T0065; AML.T0069.000; AML.T0069.001; AML.T0074; AML.T0078; AML.T0079; AML.T0080.001; AML.T0081; AML.T0108,15,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- C2 Detection & Network Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Persistence Detection & Monitoring,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
