exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
50,node_6_1,SUCCEEDED,"Competency statements classified as 'Trust Readiness' are linguistically more complex (higher word count) than 'Integration Readiness' statements, reflecting the verbosity of policy language vs. engineering brevity.",0.7339,Likely True,0.188,Likely False,-0.6335,Strong Negative (hypothesis contradicted),True,node_5_1,1,175.8,2026-02-20T23:07:04.771209+00:00,Analyze the linguistic characteristics of the competency bundles.,The experiment successfully tested the hypothesis that 'Trust Readiness' (governance) competency statements are more verbose than 'Integration Readiness' (engineering) statements. The analysis of 42 c,EXP_050_node_6_1
51,node_4_14,SUCCEEDED,Competency statements rated with 'High' confidence are supported by a significantly larger volume of bibliographic evidence (citations) than those rated 'Medium' or 'Low'.,0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_3_3,2,171.1,2026-02-20T23:10:38.992771+00:00,Validate if confidence scores correlate with evidence density.,The experiment tested the hypothesis that higher confidence scores in competency statements are driven by a higher volume of bibliographic evidence. The analysis of 'step2_competency_statements.csv' (,EXP_051_node_4_14
52,node_3_18,SUCCEEDED,"The EU AI Act acts as a stronger driver for 'Trust Readiness' requirements, whereas NIST frameworks (AI RMF, GenAI Profile) are biased towards generating 'Integration Readiness' requirements.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_2_0,2,169.8,2026-02-20T23:10:38.996729+00:00,Analyze the normative frameworks to see if they predispose organizations toward different competency bundles.,The experiment tested the hypothesis that the EU AI Act prioritizes 'Trust Readiness' while NIST frameworks favor 'Integration Readiness'. The results strongly refute this hypothesis. The analysis of ,EXP_052_node_3_18
53,node_5_8,SUCCEEDED,"The 'Human-in-the-Loop Approval Gates' control is significantly more likely to be associated with 'Trust Readiness' requirements than 'Integration Readiness' requirements, serving as a signature control for Trust.",0.879,Likely True,0.2252,Likely False,-0.7588,Strong Negative (hypothesis contradicted),True,node_4_14,2,150.4,2026-02-20T23:13:31.887762+00:00,Test the specificity of the 'Human-in-the-Loop' control to the Trust bundle.,The experiment tested the hypothesis that 'Human-in-the-Loop Approval Gates' is a signature control for the 'Trust Readiness' bundle. The analysis of `step2_crosswalk_matrix.csv` (n=42) revealed that ,EXP_053_node_5_8
54,node_4_15,SUCCEEDED,Incidents categorized as 'Security' harms involve a significantly higher number of distinct adversarial techniques (complexity) compared to 'Non-Security' harms like Reliability or Privacy.,0.7097,Likely True,0.188,Likely False,-0.6054,Strong Negative (hypothesis contradicted),True,node_3_18,2,208.0,2026-02-20T23:13:31.915620+00:00,Assess whether security-related failures are technically more complex (in terms of MITRE ATLAS techniques used) than other failure types.,The experiment tested the hypothesis that security-related incidents involve a significantly higher level of technical complexity (measured by the count of distinct MITRE ATLAS techniques) compared to,EXP_054_node_4_15
55,node_4_16,SUCCEEDED,"Trust and Integration sub-competencies do not form distinct, isolated clusters in real-world failures, but instead form mixed clusters indicating deep interdependence.",0.75,Likely True,0.936,Definitely True,0.2158,Mild Positive (hypothesis somewhat supported),True,node_3_18,0,220.6,2026-02-20T23:17:01.694544+00:00,Use unsupervised learning to analyze the co-occurrence structure of competency gaps.,The experiment successfully tested the hypothesis that Trust and Integration competencies are interdependent rather than isolated. The hierarchical clustering analysis (using Jaccard distance on incid,EXP_055_node_4_16
56,node_5_9,SUCCEEDED,"Competency statements derived from 'OWASP' requirements have significantly higher 'Confidence' scores than those derived from 'NIST' or 'EU' requirements, reflecting stronger consensus on security specificities.",0.7581,Likely True,0.3802,Maybe False,-0.4386,Strong Negative (hypothesis contradicted),True,node_4_15,0,137.6,2026-02-20T23:17:01.695569+00:00,Evaluate if source material type influences the confidence of derived competencies.,The experiment tested the hypothesis that competency statements derived from 'OWASP' requirements have significantly higher confidence scores than those from 'NIST' or 'EU' sources. The analysis of 42,EXP_056_node_5_9
57,node_5_10,SUCCEEDED,"Requirements derived from the 'EU AI Act' mandate a significantly higher number of architecture controls per requirement than those derived from 'NIST AI RMF', reflecting the regulatory intensity of the EU framework.",0.7419,Likely True,0.1963,Likely False,-0.6333,Strong Negative (hypothesis contradicted),True,node_4_10,0,195.9,2026-02-20T23:20:44.229844+00:00,Compare the architectural density (number of controls) of requirements sourced from the EU AI Act versus NIST AI RMF.,"The experiment successfully tested the hypothesis regarding the architectural density of EU AI Act versus NIST AI RMF requirements using the 'step2_crosswalk_matrix.csv' dataset. 

**Descriptive Stati",EXP_057_node_5_10
58,node_6_2,SUCCEEDED,"The 'Human-in-the-Loop Approval Gates' architecture control is significantly more likely to be required by 'Trust Readiness' competencies, whereas 'Nondeterminism Controls' are significantly more associated with 'Integration Readiness'.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_5_4,0,211.6,2026-02-20T23:20:44.232631+00:00,Validate the structural alignment of specific controls (Human-centric vs. Technical) to their respective bundles.,"The experiment successfully analyzed the relationship between specific architecture controls and competency bundles using 'step2_crosswalk_matrix.csv'. 

**Statistical Results:**
1. **Human-in-the-Loo",EXP_058_node_6_2
59,node_4_17,SUCCEEDED,"Governance requirements classified as 'Trust Readiness' map to a significantly higher number of architecture controls per requirement than 'Integration Readiness' requirements, indicating a higher degree of structural diffuseness.",0.7419,Likely True,0.1963,Likely False,-0.6333,Strong Negative (hypothesis contradicted),True,node_3_5,2,178.9,2026-02-20T23:24:18.203186+00:00,Compare the mean number of mapped architecture controls per governance requirement between the two bundles.,The experiment successfully tested the hypothesis that 'Trust Readiness' governance requirements map to a significantly higher number of architecture controls than 'Integration Readiness' requirements,EXP_059_node_4_17
60,node_4_18,SUCCEEDED,"Adversarial tactics mapped to the 'Integration Readiness' bundle appear with significantly higher frequency in real-world incidents than those mapped to 'Trust Readiness', indicating that technical exploits are more common than governance exploits.",0.6583,Maybe True,0.3396,Maybe False,-0.3699,Strong Negative (hypothesis contradicted),True,node_3_17,1,188.4,2026-02-20T23:24:18.204291+00:00,Compare the incident frequency of tactics across the two competency bundles.,"The experiment successfully loaded 'step3_tactic_frequency.csv' to compare the incident frequency of adversarial tactics across competency bundles. 

**Descriptive Statistics:**
- **Integration Readin",EXP_060_node_4_18
61,node_7_0,SUCCEEDED,"AI incidents resulting in 'Security' harms involve a significantly higher number of adversarial techniques (technique_count) than incidents resulting in 'Privacy' or 'Reliability' harms, indicating that security breaches require more complex kill chains.",0.5887,Maybe True,0.157,Likely False,-0.501,Strong Negative (hypothesis contradicted),True,node_6_1,0,204.3,2026-02-20T23:27:28.395663+00:00,Analyze the relationship between harm type and attack complexity.,"The experiment tested the hypothesis that AI security incidents involve more complex kill chains (higher technique counts) than other harm types (privacy, reliability, etc.). The analysis of 52 case s",EXP_061_node_7_0
62,node_6_3,SUCCEEDED,"The architecture controls 'GenAIOps / MLOps Lifecycle Governance' and 'Evaluation & Monitoring Infrastructure' co-occur in governance requirements significantly more often than expected by chance, indicating a coupled engineering capability.",0.8065,Likely True,0.2128,Likely False,-0.689,Strong Negative (hypothesis contradicted),True,node_5_7,0,259.7,2026-02-20T23:27:28.397302+00:00,Identify structural clustering between operational governance and evaluation infrastructure controls.,The experiment successfully analyzed the relationship between 'GenAIOps / MLOps Lifecycle Governance' and 'Evaluation & Monitoring Infrastructure' using the 'step2_crosswalk_matrix.csv' dataset. The a,EXP_062_node_6_3
63,node_5_11,SUCCEEDED,The 'RAG Architecture & Data Grounding' control is significantly more likely to be required by 'Integration Readiness' competencies than 'Trust Readiness' competencies.,0.1613,Likely False,0.0413,Definitely False,-0.1392,Mild Negative (hypothesis weakened),True,node_4_3,0,196.0,2026-02-20T23:31:50.607528+00:00,Validate the architectural specificity of Retrieval-Augmented Generation controls.,The experiment successfully tested the hypothesis regarding the architectural specificity of 'RAG Architecture & Data Grounding'. The analysis of 42 governance requirements from the `step2_crosswalk_m,EXP_063_node_5_11
64,node_6_4,FAILED,Sub-competencies with 'High' theoretical evidence strength (from Step 1) exhibit significantly higher real-world incident prevalence (from Step 3) than those with 'Medium' or 'Low' evidence.,,Unknown,,Unknown,,N/A,,node_5_0,0,358.1,2026-02-20T23:31:50.608468+00:00,Correct the previous file path error and statistically validate if the strength of academic/standard consensus (Step 1) predicts the frequency of real-world failures (Step 3).,The experiment tested the hypothesis that theoretical evidence strength predicts real-world incident frequency. By manually mapping the disjoint schemas of 'step1_sub_competencies.csv' (Constructs) an,EXP_064_node_6_4
65,node_6_5,SUCCEEDED,"Governance requirements sourced from the 'OWASP Top 10 LLM' are significantly more likely to be classified as 'Integration Readiness' compared to requirements from the 'EU AI Act', reflecting the distinct technical vs. policy focus of these normative frameworks.",0.7419,Likely True,0.7479,Likely True,0.007,Neutral (no significant belief shift),False,node_5_5,0,198.4,2026-02-20T23:37:51.375872+00:00,Determine if there is a statistically significant association between the source of a governance requirement and its capability bundle classification.,The experiment successfully loaded 'step2_crosswalk_matrix.csv' and analyzed the relationship between the source of a governance requirement and its bundle classification. To address previous string m,EXP_065_node_6_5
66,node_4_19,SUCCEEDED,"The architecture controls 'Audit Logging & Telemetry' and 'Incident Response & Recovery Playbooks' exhibit a strong positive correlation in their co-occurrence within governance requirements, suggesting they are treated as a coupled 'Reactive Defense' construct by standard bodies.",0.9677,Definitely True,0.2479,Likely False,-0.8354,Strong Negative (hypothesis contradicted),True,node_3_8,1,278.9,2026-02-20T23:37:51.377724+00:00,Assess the statistical coupling between 'Audit Logging & Telemetry' and 'Incident Response & Recovery Playbooks' using robust methods for sparse data.,The experiment successfully loaded the 'step2_crosswalk_matrix.csv' dataset and tested the coupling between 'Audit Logging & Telemetry' and 'Incident Response & Recovery Playbooks'. The results contra,EXP_066_node_4_19
67,node_4_20,SUCCEEDED,"Regulatory frameworks (e.g., EU AI Act) are significantly more likely to map to 'Trust Readiness' competencies, whereas technical frameworks (e.g., OWASP) map to 'Integration Readiness', revealing a structural 'Governance-Engineering Gap'.",0.7419,Likely True,0.7479,Likely True,0.007,Neutral (no significant belief shift),False,node_3_7,0,169.9,2026-02-20T23:42:32.108239+00:00,Quantify the association between the originating normative framework and the resulting competency bundle classification.,The experiment successfully tested the hypothesis using a Chi-square test of independence on the 'step2_crosswalk_matrix.csv' dataset. The analysis revealed a clear directional trend supporting the hy,EXP_067_node_4_20
68,node_4_21,SUCCEEDED,"Incidents resulting in 'Security' harms are significantly more likely to be characterized as 'Prevention Failures', whereas non-security harms (Reliability, Safety) correlate with 'Detection' or 'Response' failures.",0.7339,Likely True,0.188,Likely False,-0.6335,Strong Negative (hypothesis contradicted),True,node_3_16,1,181.5,2026-02-20T23:42:32.152442+00:00,Assess the relationship between the type of harm and the mode of control failure.,The experiment successfully tested the relationship between harm types and failure modes using the `step3_incident_coding.csv` dataset. The data revealed a near-total lack of variance in the dependent,EXP_068_node_4_21
69,node_5_12,SUCCEEDED,Incidents where 'Human-in-the-Loop' mechanisms are identified as a missing control are significantly more likely to result in 'Reliability' or 'Safety' harms compared to 'Security' harms.,0.7419,Likely True,0.3698,Maybe False,-0.4319,Strong Negative (hypothesis contradicted),True,node_4_18,0,264.1,2026-02-20T23:45:35.524948+00:00,Evaluate the efficacy of human oversight across different harm domains.,The experiment successfully loaded the 'step3_enrichments.json' dataset and performed a Fisher's Exact Test to evaluate the association between missing 'Human-in-the-Loop' controls and harm types (Saf,EXP_069_node_5_12
70,node_4_22,SUCCEEDED,"'Trust Readiness' sub-competencies have a significantly higher mean incident coverage than 'Integration Readiness' sub-competencies, challenging the assumption that AI security is primarily a technical engineering problem.",0.7661,Likely True,0.1963,Likely False,-0.6614,Strong Negative (hypothesis contradicted),True,node_3_17,2,176.2,2026-02-20T23:45:35.526487+00:00,Compare the mean incident counts of sub-competencies between the two bundles.,The experiment successfully tested the hypothesis that 'Trust Readiness' sub-competencies have higher incident coverage than 'Integration Readiness' sub-competencies. The code loaded 'step3_coverage_m,EXP_070_node_4_22
71,node_5_13,SUCCEEDED,"Incidents categorized as 'Security' harms involve a significantly higher level of attack complexity, measured by the number of 'Techniques Used', compared to 'Privacy' or 'Reliability' incidents.",0.6613,Maybe True,0.2128,Likely False,-0.5205,Strong Negative (hypothesis contradicted),True,node_4_14,1,259.5,2026-02-20T23:50:03.060971+00:00,Assess if security failures typically involve more complex adversarial chains than safety/privacy failures by comparing technique counts.,"The experiment successfully loaded the dataset (n=52) and tested the hypothesis that Security-related harms involve higher attack complexity (technique counts) than other harm types.

**Data Grouping:",EXP_071_node_5_13
72,node_6_6,SUCCEEDED,'Integration Readiness' competency statements require more verbose definitions (higher word count) to capture technical nuance compared to 'Trust Readiness' statements.,0.4839,Uncertain,0.124,Likely False,-0.4177,Strong Negative (hypothesis contradicted),True,node_5_8,0,228.6,2026-02-20T23:50:03.062535+00:00,Analyze the linguistic complexity/verbosity of competency statements across bundles.,The experiment tested the hypothesis that 'Integration Readiness' competency statements are more verbose than 'Trust Readiness' statements due to technical nuance. The analysis of `step2_competency_st,EXP_072_node_6_6
73,node_5_14,SUCCEEDED,"Competencies supported by 'High' confidence literature evidence map to a significantly higher number of architecture controls than those with 'Medium' or 'Low' confidence, implying that well-understood requirements are more technically prescriptive.",0.6613,Maybe True,0.1694,Likely False,-0.5709,Strong Negative (hypothesis contradicted),True,node_4_22,0,200.4,2026-02-20T23:54:24.710954+00:00,Correlate the strength of literature evidence with the density of architectural mappings by comparing control counts between high and low/medium confidence groups.,"The experiment successfully loaded 'step2_competency_statements.csv' and tested the hypothesis that evidence confidence correlates with architectural control density. 

**Key Findings:**
- **Descripti",EXP_073_node_5_14
74,node_4_23,SUCCEEDED,"Incidents categorized as 'Security' harms implicate a significantly higher number of missing sub-competencies per case than 'Non-Security' (e.g., Privacy, Reliability) incidents, due to the multi-stage nature of adversarial attacks.",0.7097,Likely True,0.2128,Likely False,-0.5767,Strong Negative (hypothesis contradicted),True,node_3_17,1,186.9,2026-02-20T23:54:24.711921+00:00,Compare the mean count of mapped sub-competencies between Security and Non-Security incidents.,"The experiment successfully tested the hypothesis that 'Security' incidents implicate a significantly higher number of missing sub-competencies than 'Non-Security' incidents. 

**Key Findings:**
- **D",EXP_074_node_4_23
75,node_5_15,SUCCEEDED,"AI incidents classified as 'Security' harms are significantly more likely to manifest as 'Prevention Failures', whereas non-security incidents (Reliability, Privacy, etc.) are significantly more likely to manifest as 'Detection' or 'Response' failures.",0.5645,Maybe True,0.1446,Likely False,-0.4873,Strong Negative (hypothesis contradicted),True,node_4_17,0,241.8,2026-02-20T23:57:47.219108+00:00,Assess whether failure modes differ significantly by harm type (Security vs. Other) using the incident coding dataset.,The experiment successfully tested the hypothesis that failure modes differ by harm type using Fisher's Exact Test on 52 incidents from 'step3_incident_coding.csv'. The data revealed an extreme imbala,EXP_075_node_5_15
76,node_4_24,SUCCEEDED,"Incidents resulting in 'Security' harms are significantly more strongly associated with 'Integration Readiness' gaps compared to incidents resulting in Non-Security harms (Privacy, Reliability, etc.), which skew towards 'Trust Readiness'.",0.7419,Likely True,0.2459,Likely False,-0.5757,Strong Negative (hypothesis contradicted),True,node_3_5,1,219.4,2026-02-20T23:57:47.220939+00:00,Determine if specific harm types correlate with the type of competency gap (Engineering vs. Governance).,The experiment successfully tested the hypothesis that 'Security' harm incidents are more strongly associated with 'Integration Readiness' gaps (engineering failures) compared to 'Non-Security' harms ,EXP_076_node_4_24
77,node_4_25,SUCCEEDED,"The number of backing literature citations for a competency statement is positively correlated with the number of applicable architecture controls, suggesting that more complex technical requirements (higher control fan-out) are supported by a broader evidentiary base.",0.7339,Likely True,0.5661,Maybe True,-0.1947,Mild Negative (hypothesis weakened),True,node_3_12,0,235.0,2026-02-21T00:01:51.139333+00:00,Assess the correlation between evidence volume and technical complexity.,The experiment successfully loaded the 'step2_competency_statements.csv' dataset and calculated the 'citation_count' (evidence volume) and 'control_count' (technical complexity) for all 42 competency ,EXP_077_node_4_25
78,node_3_19,SUCCEEDED,"Sub-competencies in the 'Trust Readiness' bundle exhibit higher 'Harm Entropy' (diversity of resulting harm types) than 'Integration Readiness' sub-competencies, which are more narrowly focused on security harms.",0.7396,Likely True,0.3136,Maybe False,-0.4944,Strong Negative (hypothesis contradicted),True,node_2_6,0,206.4,2026-02-21T00:01:51.140890+00:00,Compare the diversity of harm types associated with each bundle.,The experiment successfully tested the hypothesis that 'Trust Readiness' sub-competencies exhibit higher harm entropy (diversity of harm types) than 'Integration Readiness' ones. The code successfully,EXP_078_node_3_19
79,node_4_26,SUCCEEDED,Competency statements classified as 'Trust Readiness' are supported by significantly higher evidence confidence levels in the literature compared to 'Integration Readiness' competencies.,0.5565,Maybe True,0.1426,Likely False,-0.4804,Strong Negative (hypothesis contradicted),True,node_3_6,1,172.3,2026-02-21T00:05:47.946328+00:00,Assess if governance/policy competencies are more firmly established in literature than emerging technical/integration competencies.,The experiment tested the hypothesis that 'Trust Readiness' competencies are supported by significantly higher evidence confidence levels than 'Integration Readiness' competencies. The analysis of 42 ,EXP_079_node_4_26
80,node_5_16,SUCCEEDED,"The distribution of governance requirements across architecture controls follows a Pareto principle (80/20 rule), where a small minority of controls address the vast majority of compliance obligations.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_4_15,0,209.5,2026-02-21T00:05:47.948115+00:00,Determine if specific architecture controls act as 'compliance hubs' while others are niche.,The experiment tested the hypothesis that architecture controls follow a strict Pareto (80/20) distribution regarding governance compliance. The results refute the strict 80/20 hypothesis but confirm ,EXP_080_node_5_16
81,node_5_17,SUCCEEDED,"Incidents classified as 'Security' harm types are significantly more likely to manifest as 'Prevention Failures' compared to 'Reliability' incidents, which are more likely to manifest as Detection or Response failures.",0.7581,Likely True,0.374,Maybe False,-0.4458,Strong Negative (hypothesis contradicted),True,node_4_19,0,165.1,2026-02-21T00:09:19.695873+00:00,Analyze the relationship between harm type and failure mode to understand if security issues are predominantly preventative gaps.,The experiment successfully loaded the 'step3_incident_coding.csv' dataset and filtered for 'Security' (n=36) and 'Reliability' (n=4) incidents. The analysis revealed a near-total dominance of 'Preven,EXP_081_node_5_17
82,node_4_27,SUCCEEDED,"'Prevention Failures' are disproportionately represented in 'Integration-dominant' incidents, while 'Detection' and 'Response' failures are disproportionately represented in 'Trust-dominant' incidents, suggesting that technical controls are the primary gatekeepers while governance is responsible for oversight and reaction.",0.7339,Likely True,0.5771,Maybe True,-0.1819,Mild Negative (hypothesis weakened),True,node_3_8,0,164.5,2026-02-21T00:09:19.696910+00:00,Investigate the relationship between the mode of failure and the type of competency gap.,"The experiment was successfully executed but revealed that the dataset lacks sufficient variance to support the hypothesis. Out of 52 total incidents, only 6 were classified as purely 'trust-dominant'",EXP_082_node_4_27
83,node_4_28,SUCCEEDED,Incidents dominated by 'Integration Readiness' gaps involve a significantly higher number of distinct attack techniques than incidents dominated by 'Trust Readiness' gaps.,0.6855,Maybe True,0.6281,Maybe True,-0.0666,Mild Negative (hypothesis weakened),False,node_3_9,0,301.3,2026-02-21T00:12:08.020205+00:00,Assess whether engineering failures involve more complex attack chains than governance failures.,"The experiment successfully analyzed the complexity of attack chains (measured by 'technique_count') across different competency gap types. 

**Findings:**
1.  **Sample Size Limitations:** The majorit",EXP_083_node_4_28
84,node_3_20,SUCCEEDED,"GenAI-specific architecture controls (e.g., RAG, Prompt Management) are significantly under-represented in the governance crosswalk compared to Traditional AI controls (e.g., Logging, Risk Policy), indicating a regulatory lag.",0.7903,Likely True,0.3884,Maybe False,-0.4664,Strong Negative (hypothesis contradicted),True,node_2_3,0,325.2,2026-02-21T00:12:08.021193+00:00,Compare the frequency of governance mappings between GenAI-native architecture controls and Traditional AI controls to quantify regulatory coverage gaps.,"The experiment analyzed the 'regulatory gap' by comparing the mapping frequency of GenAI-native architecture controls (n=7) versus Traditional AI controls (n=9) in the governance crosswalk. 

**Findin",EXP_084_node_3_20
85,node_5_18,SUCCEEDED,"Integration Readiness sub-competencies exhibit significantly higher variance in incident coverage than Trust Readiness sub-competencies, indicating that engineering risks cluster around specific 'hotspots' rather than being uniformly distributed.",0.6944,Maybe True,0.0631,Definitely False,-0.7327,Strong Negative (hypothesis contradicted),True,node_4_22,0,275.2,2026-02-21T00:17:34.791507+00:00,Compare the variance of incident counts between 'Trust Readiness' and 'Integration Readiness' bundles to assess risk concentration.,"The experiment successfully loaded the 'step3_coverage_map.csv' dataset and compared the variance of incident counts between 'Trust Readiness' and 'Integration Readiness' sub-competencies. 

Key Findi",EXP_085_node_5_18
86,node_5_19,SUCCEEDED,"Incidents categorized as 'Supply Chain' harms are associated with a significantly higher number of missing sub-competencies than 'Reliability' harms, due to the structural/systemic nature of supply chain compromises.",0.5484,Uncertain,0.2459,Likely False,-0.3511,Strong Negative (hypothesis contradicted),True,node_4_23,0,246.2,2026-02-21T00:17:34.797754+00:00,Compare the competency gap breadth between Supply Chain and Reliability incidents.,"The experiment successfully loaded 'step3_enrichments.json' and compared the competency gap breadth between 'Supply Chain' and 'Reliability' incidents.

**Key Findings:**
- **Sample Size:** The datase",EXP_086_node_5_19
87,node_6_7,SUCCEEDED,"Requirements originating from 'Normative' frameworks (e.g., EU AI Act, NIST AI RMF) are significantly more likely to be classified as 'Trust Readiness', whereas 'Technical' sources (e.g., OWASP, NIST GenAI Profile) map to 'Integration Readiness'.",0.7581,Likely True,0.7521,Likely True,-0.007,Neutral (no significant belief shift),False,node_5_2,0,172.2,2026-02-21T00:22:12.187716+00:00,Validate whether the source framework type predicts the resulting competency bundle.,"The experiment successfully tested the hypothesis that the source framework type (Normative vs. Technical) predicts the competency bundle (Trust vs. Integration). 

**Descriptive Statistics:**
- **Nor",EXP_087_node_6_7
88,node_5_20,SUCCEEDED,"Sub-competencies within the 'Trust Readiness' bundle cover a significantly broader range of distinct harm types per competency than 'Integration Readiness' sub-competencies, which tend to address specific, narrower risk vectors.",0.7407,Likely True,0.2286,Likely False,-0.5944,Strong Negative (hypothesis contradicted),True,node_4_0,0,266.7,2026-02-21T00:22:12.189604+00:00,Analyze the 'risk entropy' or breadth of scope for sub-competencies in each bundle by comparing the count of distinct harm types addressed.,"The experiment successfully analyzed the 'risk entropy' of sub-competencies using 'step3_coverage_map.csv'.

**Descriptive Statistics:**
- **Trust Readiness (n=8):** Mean = 1.50 distinct harm types (S",EXP_088_node_5_20
89,node_5_21,SUCCEEDED,"Requirements sourced from the 'OWASP Top 10 LLM' are significantly more likely to map to 'Integration Readiness' competencies, whereas 'NIST AI RMF' requirements map to 'Trust Readiness', verifying a distinct 'Security vs. Risk' framework bias.",0.7419,Likely True,0.9339,Definitely True,0.2228,Mild Positive (hypothesis somewhat supported),True,node_4_24,0,192.6,2026-02-21T00:26:41.311079+00:00,Test for framework bias in competency classification.,"The experiment successfully tested the hypothesis that governance frameworks exhibit distinct biases, specifically that 'OWASP Top 10 LLM' targets 'Integration Readiness' (engineering) while 'NIST AI ",EXP_089_node_5_21
90,node_5_22,SUCCEEDED,"Normative governance frameworks (e.g., NIST, EU AI Act) are significantly more likely to map to 'Trust Readiness' competencies, whereas technical guidelines (e.g., OWASP) are significantly more likely to map to 'Integration Readiness' competencies.",0.9355,Definitely True,0.9835,Definitely True,0.0557,Mild Positive (hypothesis somewhat supported),False,node_4_17,0,140.8,2026-02-21T00:26:41.312673+00:00,Determine if there is a statistically significant association between the source of the requirement (Governance vs. Technical) and the resulting competency bundle.,"The experiment successfully tested the hypothesis that the source of a governance requirement dictates its competency bundle. Processing the 'step2_crosswalk_matrix.csv' dataset (n=42), requirements w",EXP_090_node_5_22
91,node_4_29,SUCCEEDED,"Regulatory frameworks (e.g., EU AI Act) generate a significantly higher proportion of 'Trust Readiness' requirements compared to technical frameworks (e.g., OWASP Top 10 LLM), which skew towards 'Integration Readiness'.",0.9435,Definitely True,0.4277,Maybe False,-0.5987,Strong Negative (hypothesis contradicted),True,node_3_6,0,267.5,2026-02-21T00:29:56.256540+00:00,Determine if the source of a governance mandate predicts its domain classification (Trust vs. Integration).,"The experiment successfully tested the hypothesis that regulatory frameworks generate more 'Trust Readiness' requirements while technical frameworks skew towards 'Integration Readiness'. 

1. **Data L",EXP_091_node_4_29
92,node_5_23,SUCCEEDED,"Incidents precipitated by external threat actors are significantly more likely to exploit 'Integration Readiness' gaps, whereas insider or accidental incidents are more likely to involve 'Trust Readiness' gaps.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_4_26,0,202.2,2026-02-21T00:29:56.267317+00:00,Determine if the threat actor type (External vs. Internal) predicts the type of competency failure.,"The experiment tested the hypothesis that incidents precipitated by external threat actors are more likely to exploit 'Integration Readiness' gaps, while insider incidents exploit 'Trust Readiness' ga",EXP_092_node_5_23
93,node_6_8,SUCCEEDED,"Sub-competencies within the 'Integration Readiness' bundle exhibit a significantly higher frequency of observed real-world incidents than those in the 'Trust Readiness' bundle, indicating a gap in technical robustness.",0.6471,Maybe True,0.1028,Likely False,-0.6317,Strong Negative (hypothesis contradicted),True,node_5_8,0,235.4,2026-02-21T00:34:25.795516+00:00,Compare the empirical failure rates of Trust vs. Integration sub-competencies.,The experiment tested the hypothesis that 'Integration Readiness' sub-competencies exhibit a significantly higher frequency of real-world incidents than 'Trust Readiness' sub-competencies. The analysi,EXP_093_node_6_8
94,node_6_9,SUCCEEDED,"Incidents that involve 'Tool Use' or 'Plugin' execution techniques exhibit a significantly higher 'Technique Count' than non-tool-use incidents, reflecting the compounding complexity of agentic attack surfaces.",0.75,Likely True,0.1921,Likely False,-0.6474,Strong Negative (hypothesis contradicted),True,node_5_13,1,301.1,2026-02-21T00:34:25.797435+00:00,Test if agentic/tool-use features inherently increase attack complexity.,"The experiment successfully tested the hypothesis that incidents involving 'Tool Use' or 'Plugin' execution imply higher attack complexity. Using the 'step3_incident_coding.csv' dataset, incidents wer",EXP_094_node_6_9
95,node_5_24,SUCCEEDED,"The proportion of 'Societal' harms (Bias, Privacy) has significantly increased in the post-2023 era (Generative AI boom) compared to the pre-2023 era, while 'Security' harms have proportionally decreased.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_4_2,0,224.1,2026-02-21T00:39:29.517948+00:00,Assess the temporal shift in AI risk profiles.,"The experiment successfully analyzed the temporal shift in AI incident harm types using 'step3_incident_coding.csv'. 

**Data Processing:**
The code successfully parsed dates and categorized 49 releva",EXP_095_node_5_24
96,node_7_1,SUCCEEDED,"There is a significant positive correlation between the number of 'Trust' deficiencies and 'Integration' deficiencies in single incidents, supporting the 'Joint Failure' theory.",0.75,Likely True,0.1921,Likely False,-0.6474,Strong Negative (hypothesis contradicted),True,node_6_9,0,211.7,2026-02-21T00:39:29.519410+00:00,Test if failures in Trust sub-competencies co-occur with failures in Integration sub-competencies.,"The experiment successfully loaded the 'step3_incident_coding.csv' dataset (n=52) and analyzed the relationship between Trust Readiness (TR) and Integration Readiness (IR) competency gaps. 

**Data Pr",EXP_096_node_7_1
97,node_5_25,SUCCEEDED,"Sub-competencies within the 'Integration Readiness' bundle map to a significantly higher mean number of unique adversarial tactics than those in the 'Trust Readiness' bundle, indicating a broader technical attack surface.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_4_21,0,232.6,2026-02-21T00:43:15.806745+00:00,Compare the tactical breadth of Trust vs Integration competencies.,"The experiment successfully loaded the 'step3_tactic_frequency.csv' dataset and compared the tactical breadth of the two competency bundles. The analysis included 9 sub-competencies (5 Trust, 4 Integr",EXP_097_node_5_25
